App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
Plants vs. Zombies  Heroes	FAMILY	4.4	379245	68M	10,000,000+	Free	0	Everyone	Casual;Action & Adventure	June 26, 2018	1.28.01	4.1 and up
CM FILE MANAGER HD	PRODUCTIVITY	4.3	144873	Varies with device	10,000,000+	Free	0	Everyone	Productivity	January 24, 2016	3.5.0	Varies with device
Ringdroid	VIDEO_PLAYERS	4.4	326232	Varies with device	50,000,000+	Free	0	Everyone	Video Players & Editors	December 3, 2016	Varies with device	Varies with device
Twilight: Blue light filter	HEALTH_AND_FITNESS	4.6	318134	Varies with device	5,000,000+	Free	0	Everyone	Health & Fitness	May 29, 2018	Varies with device	Varies with device
AT&T THANKS 	FAMILY	3.4	2445	34M	500,000+	Free	0	Everyone	Entertainment	July 11, 2018	1.4.0	5.0 and up
Galaxy at War Online	FAMILY	3.9	65119	46M	1,000,000+	Free	0	Everyone 10+	Strategy	May 22, 2018	2.1.0	3.0 and up
Kingdoms at War: Hardcore PVP	FAMILY	4.3	34898	92M	1,000,000+	Free	0	Teen	Strategy	June 28, 2018	4.05	4.0.3 and up
Five Nights at Freddy's 4 Demo	GAME	4.4	889425	45M	10,000,000+	Free	0	Teen	Action	July 26, 2015	1.1	2.3 and up
Five Nights at Freddy's 3 Demo	GAME	4.5	1041836	50M	10,000,000+	Free	0	Teen	Action	April 2, 2015	1.07	2.3 and up
Fandom: Five Nights at Freddys	FAMILY	4.4	17945	9.5M	1,000,000+	Free	0	Mature 17+	Entertainment	June 6, 2018	2.9.8	4.4 and up
MLB At Bat	SPORTS	4.2	82857	Varies with device	5,000,000+	Free	0	Everyone	Sports	July 30, 2018	Varies with device	Varies with device
Nights at Cube Pizzeria 3D   2	GAME	4.0	47151	36M	5,000,000+	Free	0	Everyone 10+	Action	December 26, 2017	2.4.0	4.3 and up
World at War: WW2 Strategy MMO	FAMILY	4.3	107765	78M	5,000,000+	Free	0	Everyone 10+	Strategy	May 25, 2018	3.1.9	4.1 and up
HotelTonight: Book amazing deals at great hotels	TRAVEL_AND_LOCAL	4.4	57556	Varies with device	5,000,000+	Free	0	Everyone	Travel & Local	July 31, 2018	Varies with device	Varies with device
Five Tries At Love Dating Sim	FAMILY	4.2	37165	22M	1,000,000+	Free	0	Teen	Simulation	February 14, 2018	5.1.0	2.3 and up
Rivals at War: 2084	FAMILY	4.0	174127	48M	5,000,000+	Free	0	Teen	Simulation	October 3, 2016	1.3	3.0 and up
Multiple Videos at Same Time	VIDEO_PLAYERS	4.4	4706	1.5M	1,000,000+	Free	0	Everyone	Video Players & Editors	June 19, 2018	Z (Special Edition R9)	4.4 and up
Five Nights at Freddy's 2	FAMILY	4.6	73919	40M	500,000+	Paid	$2.99	Teen	Strategy	November 15, 2014	1.07	2.3 and up
Coloring Book at Five Nights	FAMILY	4.0	532	6.5M	100,000+	Free	0	Everyone	Educational	June 6, 2017	1.6	2.3 and up
Rivals at War: Firefight	GAME	4.4	344819	51M	5,000,000+	Free	0	Teen	Action	October 18, 2016	1.4	3.0 and up
Five nights at Minecraft	FAMILY	3.5	9335	12M	1,000,000+	Free	0	Everyone	Entertainment	November 26, 2017	1.2	4.0.3 and up
Five Nights at Freddy's	GAME	4.6	100805	50M	1,000,000+	Paid	$2.99	Teen	Action	December 2, 2014	1.85	2.3 and up
Nights at Cube Pizzeria 3D   3	FAMILY	4.0	15875	40M	1,000,000+	Free	0	Teen	Simulation	March 3, 2017	1.5	4.2 and up
7 Nights at Pixel Pizzeria - 2	GAME	4.0	23168	54M	1,000,000+	Free	0	Teen	Adventure	July 9, 2018	1.3.0	4.4 and up
Nights at Slender Pizzeria 3D	GAME	4.1	2628	45M	100,000+	Free	0	Teen	Adventure	May 22, 2017	1.1	4.2 and up
DIRECTV	FAMILY	4.1	235486	63M	10,000,000+	Free	0	Teen	Entertainment	June 1, 2018	5.9.006	4.1 and up
One Night at Golden Freddy's	GAME	3.3	2717	4.0M	100,000+	Free	0	Teen	Action	December 7, 2017	0.1	2.3 and up
DIRECTV for Tablets	FAMILY	3.9	24123	69M	1,000,000+	Free	0	Teen	Entertainment	June 1, 2018	5.9.006	4.1 and up
Nights at Cube Pizzeria 3D   4	GAME	4.1	7728	39M	500,000+	Free	0	Teen	Adventure	July 17, 2018	1.5.0	4.4 and up
Five Nights at Neighbor House	GAME	4.2	2180	55M	100,000+	Free	0	Everyone 10+	Action	January 26, 2018	1.1.0	4.2 and up
Asylum Night Shift - Five Nights Survival	GAME	4.0	59223	46M	5,000,000+	Free	0	Teen	Action	June 26, 2018	1.6.5	4.1 and up
Five Nights at Freddy's: SL	GAME	4.5	16162	99M	100,000+	Paid	$2.99	Teen	Action	April 6, 2017	1.2	2.3 and up
Two Nights at jumpscare	GAME	3.8	596	91M	100,000+	Free	0	Teen	Adventure	August 17, 2017	1.0	4.1 and up
Five Nights at Pizzeria	GAME	3.5	1976	21M	100,000+	Free	0	Teen	Action	March 3, 2018	1.6	4.1 and up
Block Battles: Heroes at War - Multiplayer PVP	GAME	4.3	6698	46M	500,000+	Free	0	Everyone 10+	Action	May 14, 2016	1.0.1	2.3 and up
Five Nights at Freddy's 4	GAME	4.6	21266	45M	100,000+	Paid	$2.99	Teen	Action	July 26, 2015	1.1	2.3 and up
Five Nights at Flappy's	GAME	4.7	4041	24M	10,000+	Free	0	Everyone	Arcade	June 27, 2017	1.5.14	2.3.3 and up
5 Nights at Cube Pizzeria City	GAME	3.8	2691	52M	100,000+	Free	0	Teen	Adventure	February 22, 2017	1.2	4.2 and up
Five Nights at Freddy's 3	GAME	4.7	27856	50M	100,000+	Paid	$2.99	Teen	Action	April 2, 2015	1.07	2.3 and up
Undertale AU Amino	SOCIAL	4.8	5369	63M	50,000+	Free	0	Teen	Social	July 13, 2018	1.8.19106	4.0.3 and up
au	FAMILY	3.2	9126	5.8M	1,000,000+	Free	0	Everyone	Strategy	June 8, 2016	1.0.9	4.0 and up
Audiobooks from Audible	BOOKS_AND_REFERENCE	4.5	568922	Varies with device	100,000,000+	Free	0	Teen	Books & Reference	August 1, 2018	Varies with device	Varies with device
Au Mobile: Audition Ch nh Hi u	GAME	3.9	85278	23M	1,000,000+	Free	0	Mature 17+	Music	July 17, 2018	1.8.0716	4.0.3 and up
AU Mobile Indonesia	GAME	3.6	16521	23M	1,000,000+	Free	0	Everyone	Music	May 9, 2018	1.8.0502	2.3 and up
Au Bon Pain	FOOD_AND_DRINK	3.7	70	26M	10,000+	Free	0	Everyone	Food & Drink	July 23, 2018	1.4	5.0 and up
Au Pair Legend	LIFESTYLE	4.4	28	8.8M	1,000+	Free	0	Everyone	Lifestyle	July 19, 2018	3.5	5.0 and up
Super Dancer	GAME	4.1	91667	27M	1,000,000+	Free	0	Everyone	Arcade	July 24, 2018	3.3	2.3 and up
AU Results - AU COE Corner	FAMILY	4.0	664	2.1M	100,000+	Free	0	Everyone	Education	December 14, 2017	2.2.5	4.1 and up
view.com.au - Buy, Rent or Research Real Estate	LIFESTYLE	3.1	212	12M	50,000+	Free	0	Everyone	Lifestyle	September 26, 2017	2.1.4	4.1 and up
Au Weather Free	WEATHER	4.0	1185	5.0M	100,000+	Free	0	Everyone	Weather	June 18, 2018	2.47.2	2.3 and up
BringGo AU & NZ	MAPS_AND_NAVIGATION	2.8	440	23M	10,000+	Paid	$0.99	Everyone	Maps & Navigation	May 10, 2018	2.5.9	2.3.3 and up
AU Spark	FAMILY	3.7	681	8.2M	10,000+	Free	0	Everyone	Education	August 1, 2018	5.06	4.4 and up
Rugby AU	SPORTS	2.7	17	14M	1,000+	Free	0	Everyone	Sports	December 21, 2017	1.0.0	4.1 and up
Learners Test Free: AU Driver Knowledge Test (DKT)	FAMILY	3.9	623	8.5M	100,000+	Free	0	Everyone	Education	March 26, 2018	3.5	4.1 and up
realestate.com.au - Buy, Rent & Sell Property	HOUSE_AND_HOME	3.8	14657	Varies with device	1,000,000+	Free	0	Everyone	House & Home	July 16, 2018	Varies with device	Varies with device
Au-allstar for KR	GAME	3.6	2433	47M	100,000+	Free	0	Everyone	Music	June 15, 2018	1.6.4	4.3 and up
STUCOR - AU	FAMILY	4.5	1827	12M	100,000+	Free	0	Everyone	Education	June 5, 2018	1.3	4.1 and up
loans.com.au Smart Money	FINANCE	3.5	30	17M	1,000+	Free	0	Everyone	Finance	May 27, 2018	1.4.0	4.1 and up
AU Students Zone (Result 2016)	FAMILY	4.0	97	3.9M	10,000+	Free	0	Everyone	Education	July 1, 2016	1.1	4.0 and up
Top #5 B  kie in AU	SPORTS		0	10.0M	100+	Free	0	Everyone	Sports	December 6, 2017	1.0	4.0 and up
AU Results 2017 Auzone	FAMILY	3.8	762	4.1M	100,000+	Free	0	Everyone	Education	February 1, 2017	2.0	4.0 and up
Au Pair	SOCIAL	3.6	58	15M	10,000+	Free	0	Everyone	Social	August 14, 2017	1.3.0	4.2 and up
AU Call Blocker - Block Unwanted Calls Texts 2018	COMMUNICATION	4.2	16	3.3M	1,000+	Free	0	Everyone	Communication	April 24, 2018	1.0.4	4.1 and up
realcommercial.com.au	BUSINESS	4.4	128	6.7M	50,000+	Free	0	Everyone	Business	June 26, 2018	2.6.1	5.0 and up
Powershop AU	TOOLS	4.0	498	11M	10,000+	Free	0	Everyone	Tools	July 12, 2018	1.35.1	4.0.3 and up
Australia Newspapers - AU News Apps	NEWS_AND_MAGAZINES	4.7	48	4.1M	1,000+	Free	0	Everyone	News & Magazines	July 8, 2018	7.0.0	4.0.3 and up
news.com.au	NEWS_AND_MAGAZINES		1	3.7M	100+	Free	0	Everyone	News & Magazines	July 23, 2018	1.1	4.0 and up
Media Sosial TNI AU	SOCIAL		88	4.3M	1,000+	Free	0	Everyone	Social	January 24, 2018	1.2	2.1 and up
Dance On Mobile	FAMILY	4.1	23609	31M	1,000,000+	Free	0	Teen	Casual	April 13, 2018	1.26	4.0 and up
Super Dancer VN	GAME	4.0	24312	25M	500,000+	Free	0	Everyone	Music	July 22, 2018	3.3	4.0.3 and up
Alerte au gogol	FAMILY		14	2.0M	1,000+	Free	0	Everyone	Entertainment	February 9, 2018	1.0.0.0	4.0 and up
Neuvaine au Saint-Esprit	LIFESTYLE	4.7	57	5.8M	10,000+	Free	0	Everyone	Lifestyle	September 18, 2017	1.1	4.0 and up
Neuvaines et pri res au Coeur Sacr  de J sus	LIFESTYLE		17	3.7M	5,000+	Free	0	Everyone	Lifestyle	September 5, 2017	1.1	4.0 and up
SMS Au revoir	FAMILY		17	1.7M	5,000+	Free	0	Everyone	Entertainment	January 15, 2018	2.0.0	4.0 and up
allhomes.com.au	HOUSE_AND_HOME	3.8	874	12M	100,000+	Free	0	Everyone	House & Home	August 1, 2018	5.13.1	4.3 and up
Jobs in Canada - Emplois au Canada	BUSINESS	5.0	2	14M	1,000+	Free	0	Teen	Business	August 5, 2018	1.1	4.2 and up
Predator Calls for Hunting AU	SPORTS	4.4	27	78M	10,000+	Free	0	Everyone	Sports	August 3, 2016	1.0	4.0.3 and up
Romance et Myst res au Lyc e	FAMILY		350	6.4M	10,000+	Free	0	Teen	Entertainment	February 23, 2017	1.0.0	4.0.3 and up
Au Rubis les bijoutiers	LIFESTYLE		0	10M	100+	Free	0	Everyone	Lifestyle	July 24, 2018	1.00.33	4.1 and up
Love Dance	GAME	4.0	29462	44M	1,000,000+	Free	0	Teen	Music	June 14, 2018	1.1.7	4.0 and up
mon guide au bank populaire -infos et instructions	FINANCE		4	1.5M	1,000+	Free	0	Teen	Finance	June 13, 2018	2.0	2.3 and up
Avatar Musik	GAME	3.8	159063	85M	1,000,000+	Free	0	Everyone	Music	February 9, 2018	0.8.0	4.0 and up
Job'Of - Emploi au Cameroun	BUSINESS	4.1	294	9.8M	10,000+	Free	0	Everyone	Business	July 5, 2018	4.1.2	4.0 and up
Mali 7 - Actualit s au Mali	NEWS_AND_MAGAZINES	4.3	697	5.7M	50,000+	Free	0	Everyone	News & Magazines	April 8, 2017	2.4	4.1 and up
G teau au yaourt	FOOD_AND_DRINK		38	3.7M	10,000+	Free	0	Everyone	Food & Drink	June 9, 2018	1.1.2	4.0.3 and up
AVG AntiVirus 2018 for Android Security	TOOLS	4.5	6207063	Varies with device	100,000,000+	Free	0	Everyone	Tools	August 3, 2018	Varies with device	Varies with device
AV Tools	TOOLS	4.4	631	Varies with device	100,000+	Free	0	Everyone	Tools	September 22, 2016	Varies with device	Varies with device
Total AV	PRODUCTIVITY	3.4	617	46M	100,000+	Free	0	Everyone	Productivity	April 17, 2018	1.5.3	4.1 and up
  AV  	BOOKS_AND_REFERENCE	4.1	215	30M	10,000+	Free	0	Teen	Books & Reference	March 6, 2018	1.2	4.0 and up
AV Buddy Free	FAMILY	4.1	25	47M	5,000+	Free	0	Everyone	Education	March 8, 2017	1.2	4.1 and up
AV HD Video Player	FAMILY	3.8	6	23M	1,000+	Free	0	Everyone	Entertainment	January 19, 2018	1.0	4.4 and up
AV Tools Pro	TOOLS	4.3	35	Varies with device	1,000+	Paid	$2.49	Everyone	Tools	September 22, 2016	Varies with device	Varies with device
Avakin Life - 3D virtual world	FAMILY	4.4	1275373	91M	10,000,000+	Free	0	Teen	Role Playing	July 3, 2018	1.021.10	4.1 and up
AV-IPTV	VIDEO_PLAYERS	4.4	43	44M	1,000+	Free	0	Everyone	Video Players & Editors	April 27, 2018	1.0	4.1 and up
Video Player All Format	VIDEO_PLAYERS	4.8	258277	Varies with device	10,000,000+	Free	0	Everyone	Video Players & Editors	August 3, 2018	Varies with device	4.3 and up
HD Video Player (wmv,avi,mp4,flv,av,mpg,mkv)2017	VIDEO_PLAYERS	3.3	171	4.8M	10,000+	Free	0	Everyone	Video Players & Editors	August 10, 2017	1.1	4.1 and up
Baby Monitor AV	COMMUNICATION	3.3	1434	9.5M	100,000+	Free	0	Everyone	Communication	March 6, 2014	1.2.5	2.3 and up
HD Video Player - Video & MP3 Player | AV Player |	VIDEO_PLAYERS	4.4	22	19M	5,000+	Free	0	Everyone	Video Players & Editors	March 6, 2018	1.0.1	4.0 and up
Remote for Onkyo AV Receivers & Smart TV/Blu-Ray	TOOLS	3.7	701	7.3M	100,000+	Free	0	Everyone	Tools	July 31, 2018	Cow V3.15	4.3 and up
LG AV REMOTE	TOOLS	3.4	2420	1.8M	1,000,000+	Free	0	Everyone	Tools	June 3, 2016	1.1.8	2.3.3 and up
App Seguridad AV Villas	FINANCE	2.3	251	5.7M	50,000+	Free	0	Everyone	Finance	October 12, 2017	1.0.5	4.0 and up
Gogo Vision (Biz Av)	FAMILY	3.3	11	7.3M	1,000+	Free	0	Teen	Entertainment	August 23, 2017	3.4.0	4.1 and up
Ai-Ball AV Recorder	PHOTOGRAPHY	2.7	90	4.0M	5,000+	Paid	$2.99	Everyone	Photography	October 19, 2017	13	2.3.3 and up
AV Phone	COMMUNICATION		4	3.7M	1,000+	Free	0	Everyone	Communication	July 9, 2018	2.1.9	5.1 and up
Norton Security and Antivirus	TOOLS	4.6	1170641	26M	10,000,000+	Free	0	Everyone	Tools	July 26, 2018	4.2.1.4174	4.1 and up
AV Pro Voice Changer	FAMILY	3.5	174	5.6M	50,000+	Free	0	Everyone	Entertainment	June 29, 2016	1.0.3	4.0 and up
Remote For Pioneer AV Receivers and Blu-Ray	TOOLS	3.4	150	7.3M	50,000+	Free	0	Everyone	Tools	June 1, 2018	Cow V3.11	4.1 and up
AV Phonetics	FAMILY	4.3	259	49M	10,000+	Free	0	Everyone	Education	February 22, 2017	1.3.2	4.0 and up
AV MAX	LIFESTYLE	4.1	9	8.7M	1,000+	Free	0	Everyone	Lifestyle	July 18, 2018	7.2.2	4.1 and up
Kaspersky Mobile Antivirus: AppLock & Web Security	TOOLS	4.7	2598579	49M	50,000,000+	Free	0	Everyone	Tools	July 24, 2018	11.17.4.1024	4.1 and up
Mobile Security: Antivirus, Web Scan & App Lock	PRODUCTIVITY	4.4	574719	20M	10,000,000+	Free	0	Everyone	Productivity	July 16, 2018	5.0.0.1442	4.1 and up
MyAV Remote for Denon & Marantz AV Receivers	LIFESTYLE	3.8	250	7.3M	50,000+	Free	0	Everyone	Lifestyle	July 31, 2018	Cow V3.15	4.3 and up
EML UPnP-AV Control Point	VIDEO_PLAYERS	3.0	78	322k	10,000+	Free	0	Everyone	Video Players & Editors	September 19, 2013	1.3	1.6 and up
Kinot & Eichah for Tisha B'Av	BOOKS_AND_REFERENCE	4.4	98	6.3M	10,000+	Free	0	Everyone	Books & Reference	August 4, 2014	1.5	2.2 and up
Samsung TV AV Guide 2016	TOOLS	4.2	27	3.4M	5,000+	Free	0	Everyone	Tools	May 17, 2016	1.1.6	4.0.3 and up
Professional AV Solution & Products information	PRODUCTIVITY	4.5	24	22M	1,000+	Free	0	Everyone	Productivity	July 12, 2017	2.0.1	4.2 and up
AV High School District	FAMILY	3.5	91	25M	10,000+	Free	0	Everyone	Education	April 5, 2018	5.2.002	4.1 and up
Bitdefender Antivirus Free	TOOLS	4.5	78629	6.3M	1,000,000+	Free	0	Everyone	Tools	July 20, 2018	3.4.406	4.0.3 and up
DEER HUNTER 2018	GAME	4.3	955614	82M	10,000,000+	Free	0	Teen	Action	June 26, 2018	5.1.2	3.0 and up
Kinot Tisha'a Be'av - Ashkenaz	LIFESTYLE	4.5	82	8.7M	5,000+	Free	0	Everyone	Lifestyle	July 26, 2015	2.1	2.3.3 and up
AV Anthony's	FOOD_AND_DRINK		0	10M	50+	Free	0	Everyone	Food & Drink	July 11, 2018	1.0.136	6.0 and up
Avast Cleanup & Boost, Phone Cleaner, Optimizer	TOOLS	4.5	648380	24M	10,000,000+	Free	0	Everyone	Tools	August 1, 2018	4.6.4	4.1 and up
AW - free video calls and chat	COMMUNICATION	4.0	7317	Varies with device	1,000,000+	Free	0	Teen	Communication	July 4, 2018	1.0.08.73	4.0.3 and up
Aw Restaurant	FAMILY	4.8	4	43M	100+	Free	0	Everyone	Casual	February 6, 2018	1.0	4.0 and up
Nougat Android 7 Launcher : AW	PERSONALIZATION		0	Varies with device	100,000+	Free	0	Everyone	Personalization	March 17, 2017	Varies with device	Varies with device
AW Screen Recorder No Root	VIDEO_PLAYERS	4.3	1659	3.7M	100,000+	Free	0	Everyone	Video Players & Editors	July 6, 2017	1.1	5.0 and up
A&W Restaurants	FOOD_AND_DRINK	1.7	14	13M	1,000+	Free	0	Everyone	Food & Drink	June 6, 2018	2.7.0	4.1 and up
Add Watermark Free	PHOTOGRAPHY	4.3	18325	Varies with device	1,000,000+	Free	0	Everyone	Photography	September 3, 2017	Varies with device	Varies with device
AW Tozer Devotionals - Daily	BOOKS_AND_REFERENCE	4.2	8	3.9M	5,000+	Free	0	Everyone	Books & Reference	October 7, 2016	1.0	2.3 and up
AW Toolbox	BUSINESS		3	13M	100+	Paid	$19.90	Everyone	Business	December 22, 2016	1.6.2	4.0 and up
Analog Clock AW Plus-7	TOOLS	4.2	725	3.0M	100,000+	Free	0	Everyone	Tools	March 14, 2018	2.0	4.3 and up
Analog Clock AW-7	TOOLS	4.3	2158	3.0M	100,000+	Free	0	Everyone	Tools	March 7, 2018	2.0	4.3 and up
MediBeat for AW - Android (1)	HEALTH_AND_FITNESS		2	Varies with device	500+	Free	0	Everyone	Health & Fitness	October 24, 2017	0.9.16	Varies with device
Armored Warfare: Assault	GAME	4.0	7718	46M	100,000+	Free	0	Everyone	Action	August 2, 2018	1.0-a22936.127	5.0 and up
Watch AW-7	TOOLS	4.2	249	3.0M	50,000+	Free	0	Everyone	Tools	March 17, 2018	2.0	4.3 and up
AW TeamUp	NEWS_AND_MAGAZINES	4.6	9	17M	500+	Free	0	Everyone	News & Magazines	June 4, 2018	1.0.3	4.1 and up
Auction Wars : Storage King	GAME	4.1	29062	63M	1,000,000+	Free	0	Everyone	Casino	September 15, 2017	2.10	2.3 and up
AW Training	FAMILY	4.6	11	17M	1,000+	Free	0	Everyone	Education	July 5, 2018	3.3.2	4.0.3 and up
Digital Clock AW-7	TOOLS	4.1	484	2.9M	100,000+	Free	0	Everyone	Tools	March 6, 2018	2.0	4.3 and up
Analog and Digital Clock AW-7	TOOLS	4.0	202	2.9M	50,000+	Free	0	Everyone	Tools	March 15, 2018	2.0	4.3 and up
AW Connect	FAMILY		0	26M	10+	Free	0	Everyone	Education	June 26, 2018	3.0.10	4.0.3 and up
Analog Clock AW-7 PRO	TOOLS	3.3	40	2.7M	1,000+	Paid	$1.99	Everyone	Tools	March 7, 2018	2.0	4.3 and up
AW Reader: news & apps [Dutch]	NEWS_AND_MAGAZINES	4.1	1948	Varies with device	100,000+	Free	0	Everyone	News & Magazines	February 22, 2018	Varies with device	Varies with device
AW	FAMILY		0	Varies with device	5+	Free	0	Everyone 10+	Strategy	August 28, 2015	Varies with device	Varies with device
AW CAMERA	TOOLS		2	24M	100+	Free	0	Everyone	Tools	January 30, 2018	3.1.1	2.3 and up
AW Browser with Chrome Custom Tabs	TOOLS	4.0	9	4.7M	500+	Free	0	Everyone	Tools	May 17, 2018	2.7	6.0 and up
Analog and Digital Clock AW-7PRO	TOOLS		4	2.7M	100+	Paid	$1.99	Everyone	Tools	March 15, 2018	2.0	4.3 and up
AW Radio	FAMILY		1	1.7M	100+	Free	0	Teen	Entertainment	June 24, 2015	2	2.2 and up
Roman Clock AW-7	TOOLS	4.4	52	3.0M	5,000+	Free	0	Everyone	Tools	March 17, 2018	2.0	4.3 and up
Square Analog Clock AW-7	TOOLS	4.2	294	3.0M	50,000+	Free	0	Everyone	Tools	March 10, 2018	2.0	4.3 and up
iSniper 3D Arctic Warfare	GAME	3.8	35572	Varies with device	1,000,000+	Free	0	Teen	Arcade	September 4, 2013	Varies with device	Varies with device
AirWatch Agent	BUSINESS	3.1	20973	31M	5,000,000+	Free	0	Everyone	Business	August 1, 2018	8.2.0.84	4.0 and up
Handbreit by a.w.niemeyer	NEWS_AND_MAGAZINES		21	36M	1,000+	Free	0	Everyone	News & Magazines	May 31, 2017	3.9.4	4.0.3 and up
Tozer Devotional -Series 1	BOOKS_AND_REFERENCE	5.0	5	4.3M	1,000+	Free	0	Everyone	Books & Reference	October 8, 2016	1.0	2.3 and up
Modern Action Commando 3D	GAME	4.2	492	63M	100,000+	Free	0	Teen	Action	April 6, 2017	1.0	4.0.3 and up
HCP Anywhere	BUSINESS	4.7	114	8.6M	5,000+	Free	0	Everyone	Business	March 30, 2018	3.1.0.2	4.3 and up
Call of Duty : Heroes	GAME	4.4	1604146	57M	10,000,000+	Free	0	Teen	Action	June 27, 2018	4.8.0	4.1 and up
Ultimate Watch 2 watch face	PERSONALIZATION	4.6	285	Varies with device	10,000+	Paid	$0.99	Everyone	Personalization	June 4, 2018	2.5.21	Varies with device
Amber Weather	WEATHER	4.4	260137	13M	10,000,000+	Free	0	Everyone 10+	Weather	July 16, 2018	3.8.1	4.1 and up
Advanced Warfare Guns	FAMILY	2.9	2079	5.6M	100,000+	Free	0	Everyone	Entertainment	June 6, 2015	1.2.2	3.0 and up
AirWatch Inbox	BUSINESS	2.7	8346	Varies with device	1,000,000+	Free	0	Everyone	Business	September 20, 2017	Varies with device	4.0 and up
News.aw	NEWS_AND_MAGAZINES		1	1.0M	10+	Free	0	Everyone	News & Magazines	July 15, 2015	1.0	2.2 and up
Pujie Black Watch Face for Android Wear OS	PERSONALIZATION	4.6	7264	Varies with device	100,000+	Paid	$1.99	Everyone	Personalization	November 16, 2017	3.6.46	Varies with device
Bits Watch Face	PRODUCTIVITY	4.0	6205	Varies with device	100,000+	Free	0	Everyone	Productivity	February 5, 2018	Varies with device	Varies with device
Video Editor	VIDEO_PLAYERS	3.8	1156	23M	100,000+	Free	0	Everyone	Video Players & Editors	October 20, 2015	1.3.9b	4.3 and up
The Pursuit of God	BOOKS_AND_REFERENCE	4.8	6	1.6M	1,000+	Free	0	Everyone	Books & Reference	February 14, 2017	5.0	3.0 and up
Food-Aw - Order Food Online in Aruba	FOOD_AND_DRINK	5.0	1	24M	100+	Free	0	Everyone	Food & Drink	April 5, 2018	10	4.1 and up
F05WatchFace for Android Wear	PRODUCTIVITY	3.9	127	5.9M	1,000+	Paid	$0.99	Everyone	Productivity	December 24, 2017	7.0.1	4.3 and up
ByssWeather for Wear OS	WEATHER	4.2	19666	Varies with device	1,000,000+	Free	0	Everyone	Weather	April 11, 2018	Varies with device	Varies with device
AW - Le News di AndroidWorld	NEWS_AND_MAGAZINES	4.1	2808	Varies with device	100,000+	Free	0	Everyone	News & Magazines	February 8, 2016	Varies with device	Varies with device
Anime Expo 2018	FAMILY	4.7	54	44M	10,000+	Free	0	Everyone	Entertainment	June 8, 2018	2.1	5.0 and up
Adventure Xpress	FAMILY	4.2	24775	30M	100,000+	Free	0	Everyone 10+	Puzzle	October 12, 2015	1.2.1	2.3.3 and up
AXE.IO - Brutal Survival Battleground	GAME	4.2	3845	76M	500,000+	Free	0	Everyone 10+	Arcade	August 3, 2018	1.6.1	4.1 and up
Dynamics AX	BUSINESS	3.7	244	976k	10,000+	Free	0	Everyone	Business	October 26, 2015	3.3	2.3.3 and up
AX Player -Nougat Video Player	VIDEO_PLAYERS	4.1	15765	10M	1,000,000+	Free	0	Everyone	Video Players & Editors	September 12, 2014	2.0	2.2 and up
Armani Exchange Connected	LIFESTYLE	4.1	305	44M	10,000+	Free	0	Everyone	Lifestyle	July 4, 2017	1.5.0	4.4 and up
Axe Champ	GAME	3.8	141	19M	10,000+	Free	0	Everyone	Arcade	May 26, 2018	1.0.6	4.1 and up
AX Battery Saver	FINANCE	4.6	4546	3.0M	100,000+	Free	0	Everyone	Finance	February 8, 2018	1.2.3	4.0 and up
Axe Champ Hit	GAME		1	15M	100+	Free	0	Everyone	Arcade	May 25, 2018	0.1	4.1 and up
Axe Champion	GAME	4.4	21	15M	5,000+	Free	0	Everyone	Arcade	May 28, 2018	0.1	4.1 and up
Vikings Stickman Axe Fighting	GAME	4.2	924	43M	100,000+	Free	0	Everyone	Arcade	October 21, 2017	1.5.2	3.0 and up
AX Video Player	VIDEO_PLAYERS	4.4	569	2.6M	50,000+	Free	0	Everyone	Video Players & Editors	November 11, 2015	1.0.9	3.0 and up
Katalogen.ax	COMMUNICATION		1	172k	100+	Free	0	Everyone	Communication	October 2, 2014	1.0.0	2.2 and up
Axe	FAMILY		18	24M	1,000+	Free	0	Everyone	Simulation	December 1, 2017	1.0	4.1 and up
Axetatic - Axe Throwing Game	GAME	4.6	29	31M	1,000+	Free	0	Everyone 10+	Arcade	October 22, 2017	1.3.3	4.2 and up
Axe Champs! Wars	GAME	5.0	8	25M	50+	Free	0	Everyone	Arcade	June 26, 2018	1.1	4.1 and up
Tips Microsoft Dynamics Ax	PRODUCTIVITY		1	2.3M	500+	Free	0	Everyone	Productivity	July 8, 2017	1.0	4.1 and up
Axe Knight	GAME	4.5	52	33M	5,000+	Free	0	Everyone	Action	June 26, 2018	1.0.5	4.1 and up
AX Timesheets App for Dynamics	BUSINESS		0	9.0M	10+	Free	0	Everyone	Business	February 15, 2018	1.0.5	4.4 and up
